Year,Month,Day,Variable,eco1,eco2
2017,1,22,PAR,145.5843203,291.1686406
2017,1,23,PAR,152.5624375,305.124875
2017,1,24,PAR,151.0180958,302.0361916
2017,1,25,PAR,118.7763918,237.5527836
2017,1,26,PAR,139.1401273,278.2802546
2017,1,27,PAR,172.1273217,344.2546434
2017,1,28,PAR,179.1511076,358.3022152
2017,1,29,PAR,188.9461997,377.8923994
2017,1,30,PAR,193.9266907,387.8533814
2017,1,31,PAR,204.6036511,409.2073022
2017,2,1,PAR,146.7342466,293.4684932
2017,2,2,PAR,149.1301921,298.2603842
2017,2,3,PAR,111.7236253,223.4472506
2017,2,4,PAR,143.6469175,287.293835
2017,2,5,PAR,133.742894,267.485788
2017,2,6,PAR,154.8251198,309.6502396
2017,2,7,PAR,115.7227972,231.4455944
2017,2,8,PAR,198.7561931,397.5123862
2017,2,9,PAR,150.601378,301.202756
2017,2,10,PAR,199.575559,399.151118
2017,2,11,PAR,194.6604039,389.3208078
2017,2,12,PAR,142.9012938,285.8025876
2017,2,13,PAR,201.7563154,403.5126308
2017,2,14,PAR,206.9114732,413.8229464
2017,2,15,PAR,241.6142969,483.2285938
2017,2,16,PAR,244.9953529,489.9907058
2017,2,17,PAR,207.3618717,414.7237434
2017,2,18,PAR,236.8551889,473.7103778
2017,2,19,PAR,306.2258161,612.4516322
2017,2,20,PAR,292.9941879,585.9883758
2017,2,21,PAR,257.7544547,515.5089094
2017,2,22,PAR,234.5084551,469.0169102
2017,2,23,PAR,230.3366123,460.6732246
2017,2,24,PAR,268.8825655,537.765131
2017,2,25,PAR,357.3546585,714.709317
2017,2,26,PAR,295.2214909,590.4429818
2017,2,27,PAR,313.5888238,627.1776476
2017,2,28,PAR,328.2590723,656.5181446
2017,3,1,PAR,263.9624653,527.9249306
2017,3,2,PAR,229.0877623,458.1755246
2017,3,3,PAR,228.6584618,457.3169236
2017,3,4,PAR,297.4363618,594.8727236
2017,3,5,PAR,253.8169681,507.6339362
2017,3,6,PAR,290.7260163,581.4520326
2017,3,7,PAR,408.3387364,816.6774728
2017,3,8,PAR,375.3010873,750.6021746
2017,3,9,PAR,322.2844208,644.5688416
2017,3,10,PAR,314.3263308,628.6526616
2017,3,11,PAR,392.0733436,784.1466872
2017,3,12,PAR,454.3247171,908.6494342
2017,3,13,PAR,359.5076932,719.0153864
2017,3,14,PAR,430.9159654,861.8319308
2017,3,15,PAR,329.7875896,659.5751792
2017,3,16,PAR,399.4663832,798.9327664
2017,3,17,PAR,372.5008682,745.0017364
2017,3,18,PAR,316.1756057,632.3512114
2017,3,19,PAR,421.8285979,843.6571958
2017,3,20,PAR,496.9548507,993.9097014
2017,3,21,PAR,439.1801147,878.3602294
2017,3,22,PAR,511.7818355,1023.563671
2017,3,23,PAR,425.9280005,851.856001
2017,3,24,PAR,534.8395715,1069.679143
2017,3,25,PAR,517.7253296,1035.450659
